player_name;score;maxScore;difficulty;date;timing

ethan;3;3;Easy(15);Tuesday 21/7/2020;0:1:3:98
ethanolx;3;3;Intermediate(12);Tuesday 21/7/2020;0:14:0:786
guava;3;3;Perfect(1);Tuesday 21/7/2020;0:6:18:413
ethanolx;3;3;Easy(15);Tuesday 21/7/2020;0:5:53:664
ethanolx;2;3;Easy(15);Tuesday 21/7/2020;0:1:1:954
e;1;3;Advanced(10);Tuesday 21/7/2020;0:1:1:541
ty;0;3;Intermediate(12);Tuesday 21/7/2020;0:0:26:358
ethanolx;2;3;Legendary(3);Tuesday 21/7/2020;0:0:48:913
ethanolx;3;3;Perfect(1);Tuesday 21/7/2020;0:0:20:705
ethan;3;3;Advanced(10);Tuesday 21/7/2020;0:2:30:420
guava2;3;3;Intermediate(12);Tuesday 21/7/2020;0:0:24:505
allen;3;3;Intermediate(12);Tuesday 21/7/2020;0:5:58:694
yg;3;3;Master(5);Tuesday 21/7/2020;0:8:39:382
Allen;3;3;Master(5);Tuesday 21/7/2020;0:1:20:332
ethano;6;10;Advanced(10);Tuesday 28/7/2020;0:4:59:375
ethanolx;6;10;Easy(15);Wednesday 29/7/2020;0:1:53:31
ethan tan;5;10;Master(5);Wednesday 29/7/2020;0:1:37:425
yg;1;10;Master(5);Wednesday 29/7/2020;0:4:47:217
TL;10;10;Easy(15);Wednesday 29/7/2020;0:30:2:951
ethanol;4;10;Expert(7);Tuesday 4/8/2020;0:4:11:0
ethan;9;10;Expert(7);Tuesday 4/8/2020;0:5:27:382
nope;0;10;Expert(7);Tuesday 4/8/2020;0:0:4:305
ethan;0;10;Legendary(3);Tuesday 4/8/2020;0:0:14:570
ethan;4;10;Expert(7);Thursday 6/8/2020;0:2:34:14
t;1;10;Easy(15);Thursday 6/8/2020;0:1:38:110
y;0;10;Perfect(1);Thursday 6/8/2020;0:0:4:348
t;0;10;Expert(7);Friday 7/8/2020;0:0:8:581
ynot;3;10;Legendary(3);Sunday 9/8/2020;0:3:28:861
ynot;0;10;Perfect(1);Sunday 9/8/2020;0:0:5:511
ynot;3;10;Legendary(3);Sunday 9/8/2020;0:1:43:850
ynot;4;10;Legendary(3);Sunday 9/8/2020;0:2:41:533
ethan;3;3;Advanced(10);Tuesday 11/8/2020;0:1:14:603
ethan;0;3;Easy(15);Tuesday 11/8/2020;0:1:46:688
